-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1984 through 11/10/2024 
Location: Latitude  12.9794   Longitude 77.7228 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_RANGE            MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE            MERRA-2 Wind Speed at 50 Meters Range (m/s) 
WD50M                  MERRA-2 Wind Direction at 50 Meters (Degrees) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE              MERRA-2 Temperature at 2 Meters Range (C) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,WS10M,WS10M_RANGE,WS50M_RANGE,WD50M,QV2M,RH2M,PRECTOTCORR,CLRSKY_SFC_PAR_TOT,T2M,T2MDEW,TS,T2M_RANGE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,PS
1984,2,1,4.43,3.11,2.55,103.56,10.44,66.5,0.0,-999.0,20.77,13.25,21.99,11.95,4.29,89.3,5.96,91.76
1984,2,2,4.29,4.9,3.71,89.5,8.67,58.25,0.0,-999.0,20.83,9.8,22.1,13.78,5.92,119.4,5.96,91.71
1984,2,3,3.44,2.62,3.19,95.75,10.86,70.06,0.0,-999.0,20.37,13.86,21.48,14.71,5.29,108.5,6.0,91.64
1984,2,4,3.94,4.77,4.3,81.12,11.17,66.62,0.0,-999.0,21.83,14.33,23.25,13.52,4.74,98.7,5.93,91.56
1984,2,5,5.09,4.63,4.62,82.44,10.56,62.62,0.03,-999.0,22.02,13.37,23.3,13.8,4.3,89.9,6.08,91.47
1984,2,6,5.58,4.95,5.11,79.0,12.88,73.0,2.43,-999.0,22.17,16.51,23.69,11.66,1.93,42.7,6.1,91.52
1984,2,7,5.38,4.25,3.31,100.44,13.67,77.44,4.71,-999.0,22.19,17.46,23.72,12.45,2.3,50.6,6.12,91.53
1984,2,8,4.48,2.77,2.78,101.25,13.61,75.12,1.62,-999.0,22.76,17.42,24.41,12.33,3.36,72.1,6.13,91.57
1984,2,9,4.56,2.76,2.6,99.62,12.21,67.62,0.3,-999.0,23.17,15.68,24.87,13.99,4.86,99.6,5.88,91.64
1984,2,10,3.97,3.8,5.69,114.19,11.72,65.12,0.22,-999.0,23.39,14.89,25.4,14.0,5.87,117.3,6.01,91.58
1984,2,11,4.1,3.57,5.42,115.12,12.08,65.0,0.0,-999.0,23.76,15.44,25.85,14.17,5.61,113.5,6.02,91.55
1984,2,12,4.57,4.32,3.21,89.19,13.67,73.31,0.29,-999.0,23.21,17.47,24.87,11.87,4.62,96.5,6.13,91.6
1984,2,13,3.73,4.76,5.76,83.0,14.65,80.56,3.64,-999.0,22.32,18.58,22.89,6.3,2.67,58.2,6.27,91.55
1984,2,14,6.2,5.09,6.82,53.88,13.61,84.25,17.51,-999.0,20.25,17.42,20.6,6.01,2.41,53.1,6.29,91.71
1984,2,15,4.36,3.09,3.45,86.31,12.27,75.69,2.7,-999.0,20.87,15.76,22.23,12.13,3.41,72.8,6.31,91.73
1984,2,16,3.84,2.84,2.48,102.88,13.73,76.75,3.97,-999.0,22.51,17.51,24.13,13.06,2.84,61.6,6.34,91.7
1984,2,17,4.01,2.77,2.86,110.31,13.92,75.56,5.54,-999.0,23.07,17.74,24.77,11.73,4.33,90.9,6.33,91.7
1984,2,18,4.34,2.08,2.34,132.94,14.04,75.44,3.06,-999.0,23.15,17.9,24.91,11.07,4.98,103.8,6.35,91.75
1984,2,19,3.8,3.23,2.85,160.0,14.47,74.19,0.14,-999.0,24.01,18.37,25.89,12.19,5.5,112.4,6.32,91.72
1984,2,20,3.48,2.83,3.85,154.62,13.73,72.25,0.0,-999.0,23.34,17.58,24.8,9.57,4.86,101.0,6.31,91.8
1984,2,21,3.74,3.06,4.52,131.19,13.0,67.56,0.0,-999.0,24.16,16.73,26.18,13.45,5.21,107.6,6.46,91.79
1984,2,22,3.61,4.58,5.36,122.75,10.74,60.94,0.0,-999.0,23.63,13.49,25.4,15.59,6.4,128.1,6.46,91.77
1984,2,23,3.82,3.77,6.39,114.12,10.19,58.88,0.0,-999.0,23.48,12.68,25.14,16.91,6.39,128.5,6.48,91.8
1984,2,24,4.44,4.54,5.58,103.81,10.38,60.56,0.0,-999.0,23.1,13.01,24.87,16.76,6.43,128.3,6.52,91.78
1984,2,25,5.22,3.24,3.16,106.75,11.6,64.88,0.0,-999.0,23.12,14.83,24.87,13.7,6.94,140.0,6.77,91.82
1984,2,26,5.04,5.36,4.69,80.88,11.17,63.94,0.0,-999.0,22.88,14.35,24.58,14.73,5.34,110.6,6.66,91.82
1984,2,27,4.96,5.45,5.34,78.19,9.46,57.62,0.0,-999.0,22.22,11.52,23.69,14.84,6.23,126.4,6.29,91.82
1984,2,28,5.24,4.66,3.87,78.0,10.01,62.0,0.0,-999.0,21.02,12.47,21.84,11.27,6.9,139.6,6.51,91.78
1984,2,29,5.02,5.17,3.78,85.06,9.52,56.38,0.0,-999.0,22.61,11.73,23.89,14.59,5.57,114.5,6.1,91.84
1984,3,1,4.9,6.27,5.2,83.5,7.57,49.56,0.0,-999.0,22.06,7.76,23.26,16.86,6.62,132.3,6.71,91.94
1984,3,2,5.08,4.98,3.66,89.56,7.69,48.56,0.0,-999.0,22.24,8.24,23.6,16.88,6.18,126.7,6.49,91.91
1984,3,3,4.8,5.53,4.53,100.06,10.01,61.19,0.01,-999.0,22.26,12.05,23.85,16.02,5.81,119.4,6.63,91.89
1984,3,4,4.69,5.52,5.61,109.38,11.35,65.81,0.24,-999.0,22.46,14.56,24.18,14.42,3.25,70.4,6.63,91.87
1984,3,5,4.05,3.98,3.61,96.38,11.66,74.62,10.28,-999.0,19.8,15.04,20.54,6.85,5.27,109.5,6.65,91.82
1984,3,6,4.55,3.2,3.66,102.06,13.0,85.94,41.79,-999.0,19.12,16.66,19.35,6.45,3.36,72.1,6.68,91.69
1984,3,7,4.75,2.89,2.09,104.44,12.02,75.31,1.88,-999.0,20.25,15.46,20.84,9.94,5.28,110.7,6.43,91.71
1984,3,8,2.09,1.57,4.44,111.31,11.35,67.12,1.08,-999.0,21.94,14.55,22.89,12.9,4.9,102.6,6.74,91.74
1984,3,9,1.82,2.04,5.07,149.69,11.29,62.44,0.31,-999.0,23.14,14.43,23.82,13.79,5.98,123.4,6.43,91.69
1984,3,10,2.55,3.13,7.38,152.94,10.5,55.06,0.07,-999.0,24.48,13.25,26.08,16.16,6.35,128.5,6.73,91.65
1984,3,11,2.57,1.42,4.45,162.38,11.29,56.31,0.0,-999.0,25.18,14.4,26.73,14.94,6.74,135.0,6.82,91.71
1984,3,12,1.47,1.95,4.02,169.56,12.76,60.06,0.39,-999.0,25.51,16.39,26.91,12.65,5.94,121.7,6.71,91.69
1984,3,13,2.25,2.53,5.77,200.5,12.7,63.62,0.01,-999.0,24.4,16.24,25.9,11.38,5.98,122.1,6.73,91.65
1984,3,14,2.38,1.55,5.07,146.94,13.12,66.94,8.96,-999.0,24.27,16.84,25.76,13.23,6.89,139.0,6.88,91.7
1984,3,15,3.75,3.38,6.45,122.69,11.6,61.0,0.2,-999.0,24.52,14.76,26.12,15.76,6.96,138.2,6.93,91.79
1984,3,16,3.96,3.95,6.54,110.25,10.01,56.31,0.0,-999.0,24.33,12.21,25.52,17.3,6.59,133.5,6.55,91.9
1984,3,17,3.62,3.4,6.77,117.31,9.28,53.69,0.0,-999.0,24.12,11.12,25.39,18.31,6.66,135.0,6.7,91.93
1984,3,18,2.63,2.59,6.53,114.0,8.0,45.56,0.0,-999.0,24.37,8.83,25.64,17.77,6.85,136.3,6.94,91.77
1984,3,19,3.88,3.44,6.67,127.56,7.87,43.94,0.0,-999.0,24.45,8.9,25.19,18.86,6.75,133.4,6.94,91.76
1984,3,20,4.75,4.37,6.42,112.12,8.24,45.31,0.0,-999.0,24.69,9.54,25.59,18.9,6.89,136.8,6.95,91.83
1984,3,21,4.85,3.81,4.88,105.31,8.3,46.19,0.0,-999.0,24.54,9.55,25.51,18.86,7.11,138.1,7.17,91.86
1984,3,22,4.2,2.62,5.05,115.25,7.87,44.25,0.0,-999.0,24.59,8.62,25.69,18.66,7.04,136.8,7.11,91.82
1984,3,23,3.33,2.68,6.68,136.94,8.24,45.44,0.0,-999.0,24.45,9.55,26.05,18.55,6.93,135.2,6.91,91.71
1984,3,24,4.06,2.43,4.52,132.44,8.97,51.75,0.0,-999.0,24.02,10.51,25.63,18.08,7.11,138.9,7.16,91.74
1984,3,25,3.46,3.16,7.65,120.56,7.81,45.62,0.0,-999.0,24.02,8.47,25.51,18.44,6.94,139.0,7.02,91.66
1984,3,26,3.18,1.52,5.0,125.44,8.06,48.19,0.0,-999.0,23.05,8.87,24.2,16.4,6.96,139.9,7.06,91.74
1984,3,27,3.25,2.02,6.1,126.81,9.34,52.0,0.0,-999.0,24.44,10.94,26.11,16.9,7.0,141.0,6.74,91.83
1984,3,28,4.07,2.84,6.27,121.06,9.28,49.06,0.0,-999.0,25.26,11.15,26.51,19.35,7.11,143.2,6.79,91.84
1984,3,29,3.41,2.67,6.36,129.19,10.31,54.06,0.0,-999.0,24.73,12.67,25.97,15.04,6.12,123.5,6.89,91.73
1984,3,30,3.23,2.8,6.18,145.81,9.52,48.06,0.0,-999.0,25.15,11.69,26.04,15.66,7.17,142.5,6.89,91.61
1984,3,31,3.51,5.14,8.95,135.44,10.74,52.81,0.0,-999.0,25.58,13.54,26.92,14.73,6.77,134.6,6.67,91.66
1984,4,1,3.58,2.5,6.66,129.94,10.93,54.06,0.0,-999.0,26.24,13.51,28.66,16.72,5.78,119.6,7.21,91.65
1984,4,2,3.45,2.52,6.63,132.44,10.25,49.69,0.11,-999.0,26.5,12.62,28.92,18.09,6.74,136.5,7.29,91.59
1984,4,3,3.94,6.2,8.52,145.62,10.8,50.56,0.0,-999.0,27.05,13.64,29.85,18.6,6.78,137.2,7.32,91.49
1984,4,4,4.12,4.21,5.28,150.88,11.96,55.75,0.25,-999.0,26.36,15.23,28.76,14.69,6.17,125.5,7.33,91.51
1984,4,5,2.89,1.82,1.66,174.5,13.0,62.0,1.05,-999.0,25.15,16.62,27.08,12.79,4.28,90.1,7.34,91.6
1984,4,6,2.23,2.02,2.51,179.75,12.94,56.44,0.06,-999.0,27.51,16.49,30.19,14.62,6.33,128.8,7.05,91.56
1984,4,7,2.63,2.49,2.8,260.06,13.73,60.88,0.45,-999.0,26.26,17.51,27.93,10.55,5.87,120.4,7.37,91.54
1984,4,8,0.86,2.16,4.16,139.25,13.06,55.31,1.2,-999.0,26.98,16.71,28.38,9.84,5.97,122.7,7.37,91.52
1984,4,9,1.72,2.39,3.58,120.62,14.65,64.19,29.45,-999.0,26.07,18.53,26.74,7.32,6.46,132.0,7.41,91.64
1984,4,10,2.09,3.3,5.02,134.25,14.1,64.94,0.77,-999.0,25.69,17.96,27.23,10.42,4.73,98.7,7.33,91.64
1984,4,11,2.9,4.23,5.64,118.56,12.27,58.44,0.05,-999.0,25.9,15.55,27.53,12.37,6.54,132.4,7.19,91.69
1984,4,12,4.2,4.01,4.84,111.56,12.57,62.38,1.17,-999.0,25.24,16.05,26.94,13.82,7.05,142.7,7.45,91.67
1984,4,13,3.73,4.25,6.04,113.56,11.29,56.06,0.11,-999.0,25.45,14.4,27.24,16.4,6.95,140.9,7.35,91.58
1984,4,14,4.11,4.76,5.82,115.38,11.96,57.12,0.43,-999.0,26.22,15.2,28.18,16.04,6.43,131.2,7.35,91.58
1984,4,15,3.86,4.91,7.17,132.06,11.96,57.56,0.0,-999.0,26.43,15.07,28.36,16.21,6.76,137.6,7.4,91.53
1984,4,16,3.58,4.89,8.78,146.62,11.29,53.69,0.0,-999.0,26.9,14.08,28.95,16.84,5.54,117.2,7.17,91.53
1984,4,17,3.09,3.46,4.2,146.69,12.82,58.31,0.0,-999.0,26.63,16.4,28.92,15.86,6.36,130.3,7.23,91.59
1984,4,18,2.34,2.68,5.85,161.62,12.7,54.62,0.1,-999.0,27.9,16.11,30.55,16.4,5.87,121.2,7.36,91.53
1984,4,19,2.49,4.65,5.11,222.75,13.43,56.88,0.0,-999.0,27.51,16.98,29.03,12.99,6.06,124.7,6.76,91.45
1984,4,20,2.97,4.17,5.05,169.12,12.45,50.0,0.15,-999.0,28.6,15.83,30.73,15.02,6.43,131.2,7.37,91.38
1984,4,21,3.36,4.59,7.26,163.06,12.27,48.56,0.44,-999.0,28.83,15.58,30.58,14.27,7.2,146.0,7.3,91.39
1984,4,22,2.87,5.36,8.05,106.56,12.08,51.38,0.0,-999.0,28.32,15.11,30.64,14.16,7.08,143.6,7.25,91.45
1984,4,23,4.03,5.29,6.51,104.62,12.57,53.5,0.0,-999.0,28.13,15.88,30.29,14.16,5.95,123.4,7.04,91.38
1984,4,24,1.84,3.32,4.02,158.19,12.63,52.81,0.47,-999.0,28.05,16.05,30.86,14.8,5.58,117.9,7.22,91.34
1984,4,25,1.39,2.52,3.54,171.81,13.0,53.06,0.48,-999.0,27.8,16.55,30.73,10.79,6.29,131.1,7.22,91.4
1984,4,26,2.8,4.12,5.66,259.19,12.76,54.06,1.62,-999.0,27.14,16.3,29.27,10.72,5.61,118.3,7.22,91.51
1984,4,27,4.46,4.34,4.36,301.69,10.93,46.62,0.1,-999.0,28.32,13.78,30.49,16.9,6.82,141.4,7.22,91.54
1984,4,28,5.14,5.02,4.51,308.69,11.6,46.94,0.01,-999.0,28.95,14.72,30.99,15.99,6.76,139.5,7.26,91.45
1984,4,29,4.76,5.31,5.4,232.19,11.17,45.56,0.01,-999.0,29.49,13.74,31.45,16.36,6.64,137.4,7.19,91.34
1984,4,30,3.77,4.77,4.67,237.12,9.4,36.75,0.0,-999.0,29.93,11.29,31.88,16.56,6.7,138.5,7.16,91.35
1984,5,1,3.18,5.23,7.84,208.0,9.83,37.19,0.0,-999.0,30.06,12.12,32.52,15.87,5.76,121.8,7.0,91.43
1984,5,2,3.4,4.23,4.67,236.94,10.01,37.88,0.0,-999.0,30.51,12.21,33.08,15.7,6.37,130.6,7.41,91.45
1984,5,3,2.79,4.34,5.7,185.31,11.78,44.0,0.0,-999.0,29.42,15.07,32.07,13.16,6.08,125.0,7.15,91.46
1984,5,4,3.73,4.45,7.34,146.19,11.54,44.25,4.2,-999.0,29.97,14.5,32.72,16.3,6.85,138.8,7.25,91.48
1984,5,5,3.69,5.74,8.98,146.81,10.38,42.56,0.09,-999.0,29.31,12.78,31.81,17.62,6.98,141.5,7.35,91.51
1984,5,6,3.06,4.23,6.81,149.06,10.86,41.12,0.0,-999.0,30.08,13.62,32.69,16.33,7.11,143.5,7.37,91.41
1984,5,7,2.44,3.7,6.68,166.25,11.17,39.31,0.0,-999.0,31.22,14.12,34.08,15.04,6.82,138.5,7.3,91.3
1984,5,8,1.95,3.71,4.38,186.31,11.84,41.12,0.02,-999.0,30.94,14.98,33.65,13.6,6.24,127.6,7.14,91.3
1984,5,9,1.41,2.47,4.46,151.38,11.05,38.12,0.0,-999.0,31.21,13.9,34.26,14.57,6.14,126.1,7.26,91.33
1984,5,10,2.67,3.66,7.57,157.25,11.17,43.12,8.17,-999.0,29.12,14.17,30.65,14.04,6.14,125.5,7.35,91.39
1984,5,11,3.23,4.33,7.35,155.25,11.72,49.0,0.56,-999.0,28.48,14.98,30.25,17.13,6.07,125.4,7.18,91.46
1984,5,12,2.77,3.77,6.98,154.06,11.96,44.94,0.02,-999.0,29.9,15.3,32.6,16.84,6.59,134.3,7.17,91.42
1984,5,13,3.1,3.37,4.23,237.38,13.24,50.5,0.0,-999.0,29.22,16.86,31.97,13.89,6.33,129.9,7.08,91.36
1984,5,14,4.47,4.55,4.31,217.94,12.82,51.31,6.95,-999.0,28.49,16.24,30.08,12.52,6.34,130.3,7.37,91.27
1984,5,15,3.2,4.38,4.73,216.12,13.24,55.19,0.22,-999.0,27.95,16.8,29.27,15.12,6.44,131.5,7.08,91.21
1984,5,16,3.36,3.39,5.48,186.5,12.21,50.06,0.16,-999.0,28.34,15.45,30.33,14.6,6.75,137.1,7.5,91.33
1984,5,17,3.02,2.62,4.52,152.19,11.41,45.38,1.38,-999.0,28.55,14.55,30.48,15.29,6.11,124.9,7.35,91.4
1984,5,18,3.27,3.48,7.03,154.69,12.45,50.06,0.35,-999.0,28.24,15.86,30.21,12.38,6.9,140.0,7.43,91.32
1984,5,19,3.23,5.55,7.34,183.56,12.08,47.5,0.1,-999.0,28.97,15.33,31.62,14.73,7.12,144.1,7.27,91.27
1984,5,20,3.39,6.16,8.09,208.06,13.85,54.06,0.76,-999.0,28.81,17.56,31.15,12.39,6.53,132.9,7.33,91.43
1984,5,21,4.55,4.62,5.52,280.62,14.1,54.81,0.08,-999.0,28.6,17.88,30.75,11.95,6.88,139.3,7.06,91.44
1984,5,22,5.17,5.67,6.09,288.56,14.22,59.31,6.33,-999.0,27.96,17.94,30.04,14.84,6.51,132.3,7.08,91.43
1984,5,23,5.43,4.58,5.59,267.44,15.93,71.19,12.07,-999.0,26.0,19.83,26.73,9.98,7.02,142.4,7.08,91.37
1984,5,24,5.13,4.41,4.4,278.25,15.5,70.56,2.13,-999.0,25.76,19.37,26.41,9.48,7.24,145.4,7.23,91.31
1984,5,25,4.45,4.84,4.14,303.81,14.4,65.06,0.0,-999.0,26.15,18.21,27.05,11.73,6.73,136.3,6.67,91.33
1984,5,26,3.85,6.04,7.31,271.81,14.71,67.5,0.0,-999.0,25.65,18.54,26.99,10.92,6.37,130.0,7.05,91.45
1984,5,27,4.83,4.56,5.77,282.31,14.28,72.69,0.0,-999.0,23.6,18.12,24.47,6.67,7.04,142.5,7.07,91.43
1984,5,28,5.55,6.42,7.18,275.81,13.73,69.12,0.0,-999.0,23.8,17.43,24.17,7.36,6.55,133.6,7.15,91.21
1984,5,29,6.7,4.57,3.78,273.06,13.37,59.56,0.0,-999.0,27.11,16.83,28.52,14.69,5.45,113.6,6.94,91.14
1984,5,30,5.15,4.51,4.71,271.56,14.1,62.81,0.0,-999.0,26.6,17.89,28.07,12.91,6.91,140.4,7.1,91.33
1984,5,31,5.41,4.61,3.63,263.56,14.1,64.06,0.0,-999.0,25.77,17.89,26.87,9.49,6.51,133.9,7.2,91.48
1984,6,1,4.57,4.53,5.57,238.38,13.79,63.81,0.02,-999.0,25.68,17.57,28.02,12.12,5.52,115.3,7.29,91.36
1984,6,2,4.73,5.84,6.88,286.12,14.53,68.62,0.04,-999.0,24.75,18.34,25.72,6.0,4.55,96.1,7.1,91.14
1984,6,3,6.51,7.07,8.98,244.81,14.95,73.69,9.32,-999.0,24.22,18.83,25.32,8.95,3.6,76.0,7.04,91.22
1984,6,4,7.54,5.41,5.96,258.69,15.14,75.81,0.08,-999.0,24.02,19.04,24.83,6.91,7.22,145.7,7.15,91.38
1984,6,5,6.44,4.63,4.73,260.81,15.2,74.75,0.01,-999.0,24.4,19.12,25.36,9.12,7.15,145.7,6.96,91.39
1984,6,6,6.24,5.77,6.39,264.0,15.26,74.38,0.01,-999.0,24.44,19.17,25.26,8.5,6.15,126.7,7.08,91.26
1984,6,7,6.19,4.38,3.98,251.69,15.99,76.44,0.06,-999.0,24.63,19.87,25.41,7.73,5.64,117.0,7.18,91.16
1984,6,8,6.7,5.68,5.62,230.44,15.5,79.75,0.47,-999.0,23.3,19.39,24.2,6.51,5.1,108.2,7.06,91.21
1984,6,9,5.6,3.36,3.28,238.12,14.71,79.12,0.2,-999.0,22.6,18.63,23.36,6.53,4.96,103.5,7.25,91.4
1984,6,10,5.77,3.63,3.55,275.12,13.61,69.44,0.07,-999.0,24.08,17.39,25.48,12.04,5.65,116.7,7.3,91.44
1984,6,11,6.2,3.73,3.36,274.12,14.53,73.5,2.53,-999.0,23.81,18.31,25.01,9.9,3.79,80.8,7.09,91.29
1984,6,12,7.84,4.98,5.05,262.25,14.22,70.88,0.11,-999.0,24.15,17.97,25.21,9.04,3.56,76.0,7.11,91.2
1984,6,13,8.62,3.07,3.02,259.44,13.85,72.06,0.15,-999.0,23.3,17.63,24.1,7.46,4.58,96.6,6.74,91.25
1984,6,14,8.48,3.52,3.56,260.31,13.79,70.44,0.15,-999.0,23.74,17.56,25.03,9.66,4.04,85.4,7.06,91.3
1984,6,15,8.05,5.4,5.77,259.69,14.1,68.12,0.84,-999.0,24.97,17.86,26.37,11.42,4.56,97.1,7.33,91.22
